strain	accession	clade	description
KU133255.1	KU133255.1	G2b	Porcine epidemic diarrhea virus isolate CH-SDLY-3-2014 spike protein (S) gene, complete cds
KU380331.1	KU380331.1	G2b	Porcine epidemic diarrhea virus isolate CH-SD01, complete genome
KU646831.1	KU646831.1	G2b	Porcine epidemic diarrhea virus isolate AH2012/12, complete genome
KU985230.1	KU985230.1	G2b	Porcine epidemic diarrhea virus strain GDU spike protein gene, complete cds
KX791060.1	KX791060.1	G2b	Porcine epidemic diarrhea virus isolate CHSD2014, complete genome
KY211050.1	KY211050.1	G2b	Porcine epidemic diarrhea virus isolate NY9S spike protein gene, complete cds
KY211052.1	KY211052.1	G2b	Porcine epidemic diarrhea virus isolate PDS1S spike protein gene, complete cds
KY211061.1	KY211061.1	G2b	Porcine epidemic diarrhea virus isolate XY5S spike protein gene, complete cds
KY775035.1	KY775035.1	G2b	Porcine epidemic diarrhea virus isolate HBJM1 spike protein (S) gene, complete cds
KY775036.1	KY775036.1	G2b	Porcine epidemic diarrhea virus isolate HBJM2 spike protein (S) gene, complete cds
MG132637.1	MG132637.1	G2b	Porcine epidemic diarrhea virus isolate HB160123 spike protein mRNA, complete cds
MG132638.1	MG132638.1	G2b	Porcine epidemic diarrhea virus isolate HB160134 spike protein mRNA, complete cds
MG132639.1	MG132639.1	G2b	Porcine epidemic diarrhea virus isolate HB160135 spike protein mRNA, complete cds
MG198632.1	MG198632.1	G2b	Porcine epidemic diarrhea virus isolate JSNJ1602 spike protein gene, complete cds
MG334004.1	MG334004.1	G2b	Porcine epidemic diarrhea virus isolate YnP3 spike glycoprotein (S) gene, complete cds
MH708895.1	MH708895.1	G2b	Porcine epidemic diarrhea virus isolate FJ2011, complete genome
MH726384.1	MH726384.1	G2b	Porcine epidemic diarrhea virus isolate GDS06, complete genome
MH726385.1	MH726385.1	G2b	Porcine epidemic diarrhea virus isolate GDS08, complete genome
MH726386.1	MH726386.1	G2b	Porcine epidemic diarrhea virus isolate GDS16, complete genome
MH726387.1	MH726387.1	G2b	Porcine epidemic diarrhea virus isolate GDS12, complete genome
MH726388.1	MH726388.1	G2b	Porcine epidemic diarrhea virus isolate GDS36, complete genome
MH726389.1	MH726389.1	G2b	Porcine epidemic diarrhea virus isolate GDS39, complete genome
MH726390.1	MH726390.1	G2b	Porcine epidemic diarrhea virus isolate GDS40, complete genome
MH726391.1	MH726391.1	G2b	Porcine epidemic diarrhea virus isolate GDS15, complete genome
MH726392.1	MH726392.1	G2b	Porcine epidemic diarrhea virus isolate GDS44, complete genome
MH726393.1	MH726393.1	G2b	Porcine epidemic diarrhea virus isolate GDS14, complete genome
MH726394.1	MH726394.1	G2b	Porcine epidemic diarrhea virus isolate GDS31, complete genome
MH726395.1	MH726395.1	G2b	Porcine epidemic diarrhea virus isolate GDS32, complete genome
MH726396.1	MH726396.1	G2b	Porcine epidemic diarrhea virus isolate GDS35, complete genome
MH726397.1	MH726397.1	G2b	Porcine epidemic diarrhea virus isolate GDS38, complete genome
MH726398.1	MH726398.1	G2b	Porcine epidemic diarrhea virus isolate GDS37, complete genome
MH726399.1	MH726399.1	G2b	Porcine epidemic diarrhea virus isolate GDS42, complete genome
MH726400.1	MH726400.1	G2b	Porcine epidemic diarrhea virus isolate GDS45, complete genome
MH726401.1	MH726401.1	G2b	Porcine epidemic diarrhea virus isolate GDS41, complete genome
MH748550.1	MH748550.1	G2b	Porcine epidemic diarrhea virus strain PEDV JS-A, complete genome
MK288006.1	MK288006.1	G2b	Porcine epidemic diarrhea virus isolate FJzz1, complete genome
MK392335.1	MK392335.1	G2b	Porcine epidemic diarrhea virus isolate LW/L, complete genome
MK584552.1	MK584552.1	G2b	Porcine epidemic diarrhea virus strain AJ1102(F12), complete genome
MN368700.1	MN368700.1	G2b	Porcine epidemic diarrhea virus isolate GDhz17 spike protein (S) gene, complete cds
MN368702.1	MN368702.1	G2b	Porcine epidemic diarrhea virus isolate GDjm17-2 spike protein (S) gene, complete cds
MN508818.1	MN508818.1	G2b	Porcine epidemic diarrhea virus isolate SHpd/2012 S protein (S) gene, complete cds
MN759311.1	MN759311.1	G2b	Porcine epidemic diarrhea virus strain GD-XL-2019, complete genome
MW145530.1	MW145530.1	G2b	Porcine epidemic diarrhea virus strain CH/SCMY-2/2019 spike protein (S) gene, complete cds
MW145533.1	MW145533.1	G2b	Porcine epidemic diarrhea virus strain CH/SCZY-2/2020 spike protein (S) gene, complete cds
MW386982.1	MW386982.1	G2b	Porcine epidemic diarrhea virus isolate JX2020, complete genome
MZ161006.1	MZ161006.1	G2b	Porcine epidemic diarrhea virus strain CH/JSSZ/12/2020 spike protein (S) gene, complete cds
MZ161014.1	MZ161014.1	G2b	Porcine epidemic diarrhea virus strain CH/GDYD/12/2020 spike protein (S) gene, complete cds
MZ161018.1	MZ161018.1	G2b	Porcine epidemic diarrhea virus strain CH/HBXT/11/2020 spike protein (S) gene, complete cds
MZ161022.1	MZ161022.1	G2b	Porcine epidemic diarrhea virus strain CH/HNXX/11/2020 spike protein (S) gene, complete cds
MZ161023.1	MZ161023.1	G2b	Porcine epidemic diarrhea virus strain CH/GXDX/10/2020 spike protein (S) gene, complete cds
MZ161024.1	MZ161024.1	G2b	Porcine epidemic diarrhea virus strain CH/HBBX/10/2020 spike protein (S) gene, complete cds
MZ161025.1	MZ161025.1	G2b	Porcine epidemic diarrhea virus strain CH/HBSZ/10/2020 spike protein (S) gene, complete cds
MZ161029.1	MZ161029.1	G2b	Porcine epidemic diarrhea virus strain CH/HBHS/10/2020 spike protein (S) gene, complete cds
MZ161030.1	MZ161030.1	G2b	Porcine epidemic diarrhea virus strain CH/AHBZ/10/2020 spike protein (S) gene, complete cds
MZ161032.1	MZ161032.1	G2b	Porcine epidemic diarrhea virus strain CH/JSSQ/10/2020 spike protein (S) gene, complete cds
MZ161033.1	MZ161033.1	G2b	Porcine epidemic diarrhea virus strain CH/JSJH/10/2020 spike protein (S) gene, complete cds
MZ161034.1	MZ161034.1	G2b	Porcine epidemic diarrhea virus strain CH/SCPZ/10/2020 spike protein (S) gene, complete cds
MZ161035.1	MZ161035.1	G2b	Porcine epidemic diarrhea virus strain CH/AHLA/10/2020 spike protein (S) gene, complete cds
MZ161036.1	MZ161036.1	G2b	Porcine epidemic diarrhea virus strain CH/SCLZ/09/2020 spike protein (S) gene, complete cds
MZ161037.1	MZ161037.1	G2b	Porcine epidemic diarrhea virus strain CH/SCCN/08/2020 spike protein (S) gene, complete cds
MZ161041.1	MZ161041.1	G2b	Porcine epidemic diarrhea virus strain CH/JXPY/07/2020 spike protein (S) gene, complete cds
MZ161046.1	MZ161046.1	G2b	Porcine epidemic diarrhea virus strain CH/SCMY/06/2020 spike protein (S) gene, complete cds
MZ161059.1	MZ161059.1	G2b	Porcine epidemic diarrhea virus strain CH/HNLY/03/2020 spike protein (S) gene, complete cds
MZ161078.1	MZ161078.1	G2b	Porcine epidemic diarrhea virus strain CH/SCYT/05/2020 spike protein (S) gene, complete cds
MZ364307.1	MZ364307.1	G2b	Porcine epidemic diarrhea virus strain CH/GX/PEDV/938/2016, complete genome
MZ364308.1	MZ364308.1	G2b	Porcine epidemic diarrhea virus strain CH/GX/PEDV/997/2016, complete genome
MZ364309.1	MZ364309.1	G2b	Porcine epidemic diarrhea virus strain CH/GX/PEDV/1008/2016, complete genome
MZ364314.1	MZ364314.1	G2b	Porcine epidemic diarrhea virus strain CH/GX/PEDV/2373/2018, complete genome
MZ581326.1	MZ581326.1	G2b	Porcine epidemic diarrhea virus strain YN150, complete genome
MZ604716.1	MZ604716.1	G2b	Porcine epidemic diarrhea virus strain YN17, complete genome
OM201218.1	OM201218.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/JL89 spike protein gene, complete cds
ON248872.1	ON248872.1	G2b	Porcine epidemic diarrhea virus strain PEDV/CN/Anhui/Sinder202109-1 spike protein gene, complete cds
ON262797.1	ON262797.1	G2b	Porcine epidemic diarrhea virus strain AH2012/12-P102, complete genome
ON571549.1	ON571549.1	G2b	Porcine epidemic diarrhea virus isolate JS2021, complete genome
ON649885.1	ON649885.1	G2b	Porcine epidemic diarrhea virus strain JS-B, complete genome
OP019333.1	OP019333.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CH/BZ/2021 spike protein (S) gene, partial cds
OP171888.1	OP171888.1	G2b	Porcine epidemic diarrhea virus isolate FJLY02-2017 spike protein (S) gene, complete cds
OP171891.1	OP171891.1	G2b	Porcine epidemic diarrhea virus isolate FJLY03-2016 spike protein (S) gene, complete cds
OP171892.1	OP171892.1	G2b	Porcine epidemic diarrhea virus isolate FJLY03-2017 spike protein (S) gene, complete cds
OP287015.1	OP287015.1	G2b	Porcine epidemic diarrhea virus isolate JS-A, complete genome
OP374021.1	OP374021.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/Guizhou/Sinder202206-2 spike gene, complete cds
OP894120.1	OP894120.1	G2b	UNVERIFIED: Porcine epidemic diarrhea virus isolate PEDV SD/2020, complete genome
OP972835.1	OP972835.1	G2b	Porcine epidemic diarrhea virus isolate YNBS/2022, complete genome
OQ122098.1	OQ122098.1	G2b	Porcine epidemic diarrhea virus isolate HBXG/2022 spike protein (S) gene, complete cds
OQ122103.1	OQ122103.1	G2b	Porcine epidemic diarrhea virus isolate HBXT/2021 spike protein (S) gene, complete cds
OQ122105.1	OQ122105.1	G2b	Porcine epidemic diarrhea virus isolate FJLY/2021 spike protein (S) gene, complete cds
OQ122111.1	OQ122111.1	G2b	Porcine epidemic diarrhea virus isolate JXGZ/2022 spike protein (S) gene, complete cds
OQ349221.1	OQ349221.1	G2b	Porcine epidemic diarrhea virus isolate JSyj10 spike protein (S) gene, partial cds
OQ437174.1	OQ437174.1	G2b	Porcine epidemic diarrhea virus strain YNLP/2022, complete genome
OQ589489.1	OQ589489.1	G2b	Porcine epidemic diarrhea virus strain attenuated AJ1102-R, complete genome
OR001817.1	OR001817.1	G2b	Porcine epidemic diarrhea virus isolate A22073101 spike protein (S) gene, complete cds
OR085298.1	OR085298.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HeNNX12-2022, complete genome
OR085299.1	OR085299.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-NMCL2-2022, complete genome
OR085300.1	OR085300.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-NMBB1-2023, complete genome
OR085309.1	OR085309.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF4-2022, complete genome
OR085310.1	OR085310.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF3-2022, complete genome
OR085311.1	OR085311.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-HuNYF2-2022, complete genome
OR479072.1	OR479072.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD2101 spike protein (S) gene, complete cds
OR479073.1	OR479073.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD2201 spike protein (S) gene, complete cds
OR479074.1	OR479074.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD2301 spike protein (S) gene, complete cds
OR479075.1	OR479075.1	G2b	Porcine epidemic diarrhea virus isolate CH/GX2101 spike protein (S) gene, complete cds
OR479076.1	OR479076.1	G2b	Porcine epidemic diarrhea virus isolate CH/GX2201 spike protein (S) gene, complete cds
OR479077.1	OR479077.1	G2b	Porcine epidemic diarrhea virus isolate CH/GX2301 spike protein (S) gene, complete cds
OR479078.1	OR479078.1	G2b	Porcine epidemic diarrhea virus isolate CH/JX2101 spike protein (S) gene, complete cds
OR479079.1	OR479079.1	G2b	Porcine epidemic diarrhea virus isolate CH/JX2201 spike protein (S) gene, complete cds
OR576821.1	OR576821.1	G2b	Porcine epidemic diarrhea virus isolate CH/GD441/2022 spike protein (S) gene, complete cds
PP395584.1	PP395584.1	G2b	Porcine epidemic diarrhea virus strain SC2022YA spike protein (S) gene, complete cds
PP580808.1	PP580808.1	G2b	Porcine epidemic diarrhea virus isolate AH-FY2022 spike protein (S) gene, complete cds
PP580811.1	PP580811.1	G2b	Porcine epidemic diarrhea virus isolate SD-TA2022 spike protein (S) gene, complete cds
PP580813.1	PP580813.1	G2b	Porcine epidemic diarrhea virus isolate GD-GZ2020-10 spike protein (S) gene, complete cds
PP723328.1	PP723328.1	G2b	Porcine epidemic diarrhea virus isolate CH/Guangdong-S/2022 spike protein (S) gene, complete cds
PP901935.1	PP901935.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CN/JLTH spike protein (S) gene, partial cds
PQ284571.1	PQ284571.1	G2b	Porcine epidemic diarrhea virus isolate CH-SX1-2023 spike protein (S) gene, complete cds
PQ284572.1	PQ284572.1	G2b	Porcine epidemic diarrhea virus isolate CH-SX2-2023 spike protein (S) gene, complete cds
PV036769.1	PV036769.1	G2b	Porcine epidemic diarrhea virus isolate HLJ5, complete genome
PV146395.1	PV146395.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW34/2023 S protein (S) gene, partial cds
PV146397.1	PV146397.1	G2b	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW36/2023 S protein (S) gene, partial cds
PV164728.1	PV164728.1	G2b	Porcine epidemic diarrhea virus isolate PEDV ZJ23TZ0201-01 spike protein (S) gene, complete cds
PV523941.1	PV523941.1	G2b	Porcine epidemic diarrhea virus isolate AH02-04-CN_2024 spike protein (S) gene, complete cds
PV523942.1	PV523942.1	G2b	Porcine epidemic diarrhea virus isolate GX03-05-CN_2024 spike protein (S) gene, complete cds
PV536080.1	PV536080.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-GDYL30-2022, partial genome
PV536081.1	PV536081.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-GDYL9-2022, partial genome
PV536106.1	PV536106.1	G2b	Porcine epidemic diarrhea virus isolate PEDV-NMBB15-2023, partial genome
PV609800.1	PV609800.1	G2b	Porcine epidemic diarrhea virus isolate PEDV LZ2401 spike protein (S) gene, partial cds
PV614330.1	PV614330.1	G2b	Porcine epidemic diarrhea virus isolate SN2401 spike protein (S) gene, partial cds
PV641626.1	PV641626.1	G2b	Porcine epidemic diarrhea virus isolate PEDV ZY2402 spike protein (S) gene, partial cds
PV641632.1	PV641632.1	G2b	Porcine epidemic diarrhea virus isolate PEDV CD2404 spike protein (S) gene, complete cds
PV695983.1	PV695983.1	G2b	Porcine epidemic diarrhea virus isolate HB-2024, complete genome
PV844369.1	PV844369.1	G2b	Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
PV844370.1	PV844370.1	G2b	Porcine epidemic diarrhea virus isolate G2b spike protein gene, complete cds
PX229706.1	PX229706.1	G2b	Porcine epidemic diarrhea virus isolate JS-CZYZ202201 spike protein gene, partial cds
PX482649.1	PX482649.1	G2b	Porcine epidemic diarrhea virus isolate CH-SWM-LS, complete genome
PX652413.1	PX652413.1	G2b	Porcine epidemic diarrhea virus strain P2C spike protein (S) gene, complete cds
KF840551.1	KF840551.1	G2c	Porcine epidemic diarrhea virus isolate CH/HuBWHYQ/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KM609206.1	KM609206.1	G2c	Porcine epidemic diarrhea virus strain PEDV-10F, complete genome
KM609212.1	KM609212.1	G2c	Porcine epidemic diarrhea virus strain PEDV-LYG, complete genome
KM609213.1	KM609213.1	G2c	Porcine epidemic diarrhea virus strain PEDV-WS, complete genome
KR153326.1	KR153326.1	G2c	Porcine epidemic diarrhea virus strain CH/GDZHDM/1401, complete genome
KR296667.1	KR296667.1	G2c	Porcine epidemic diarrhea virus strain CH-HGC-01-2015 S protein (S) gene, complete cds
KR296670.1	KR296670.1	G2c	Porcine epidemic diarrhea virus strain CH-QTC-01-2015 S protein (S) gene, complete cds
KR296683.1	KR296683.1	G2c	Porcine epidemic diarrhea virus strain CH-CLC-01-2015 S protein (S) gene, complete cds
KR809885.1	KR809885.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNAY/2015, complete genome
KT199103.1	KT199103.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNLH/2015, complete genome
KT239505.1	KT239505.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHFY-1 spike protein-like gene, complete sequence
KT239507.1	KT239507.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHSZ-1 spike protein-like gene, complete sequence
KT239511.1	KT239511.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-3 spike protein-like gene, complete sequence
KT239512.1	KT239512.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHCZ-1 spike protein-like gene, complete sequence
KT239516.1	KT239516.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHLA-1 spike protein-like gene, complete sequence
KT239518.1	KT239518.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHTL-1 spike protein-like gene, complete sequence
KT239519.1	KT239519.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain AHBZ-1 spike protein-like gene, complete sequence
KT388410.1	KT388410.1	G2c	Porcine epidemic diarrhea virus isolate CH-YYC-2025 spike glycoprotein gene, complete cds
KT388413.1	KT388413.1	G2c	Porcine epidemic diarrhea virus isolate CH-XDC-2015 spike glycoprotein gene, complete cds
KT428879.1	KT428879.1	G2c	Porcine epidemic diarrhea virus strain YC2014 spike protein (S) gene, complete cds
KT989356.1	KT989356.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNKF-15.1 spike protein gene, complete cds
KT989362.1	KT989362.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNHB-15.3 spike protein gene, complete cds
KT989363.1	KT989363.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNHB-14.11 spike protein gene, complete cds
KU133236.1	KU133236.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDDP-1-2014 spike protein (S) gene, complete cds
KU133238.1	KU133238.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDDP-3-2014 spike protein (S) gene, complete cds
KU133247.1	KU133247.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDLS-1-2014 spike protein (S) gene, complete cds
KU133248.1	KU133248.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDLS-2-2014 spike protein (S) gene, complete cds
KU133250.1	KU133250.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDLY-1-2013 spike protein (S) gene, complete cds
KU133251.1	KU133251.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDLY-1-2014 spike protein (S) gene, complete cds
KU133259.1	KU133259.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDQF-4-2014 spike protein (S) gene, complete cds
KU133269.1	KU133269.1	G2c	Porcine epidemic diarrhea virus isolate CH-SDZC-2015 spike protein (S) gene, complete cds
KU237217.1	KU237217.1	G2c	Porcine epidemic diarrhea virus strain HJ S protein (S) gene, complete cds
KU237219.1	KU237219.1	G2c	Porcine epidemic diarrhea virus strain JY S protein (S) gene, complete cds
KU237220.1	KU237220.1	G2c	Porcine epidemic diarrhea virus strain KF S protein (S) gene, complete cds
KU237222.1	KU237222.1	G2c	Porcine epidemic diarrhea virus strain MZ S protein (S) gene, complete cds
KU237223.1	KU237223.1	G2c	Porcine epidemic diarrhea virus strain NH S protein (S) gene, complete cds
KU237224.1	KU237224.1	G2c	Porcine epidemic diarrhea virus strain PDS S protein (S) gene, complete cds
KU237225.1	KU237225.1	G2c	Porcine epidemic diarrhea virus strain QX1 S protein (S) gene, complete cds
KU237226.1	KU237226.1	G2c	Porcine epidemic diarrhea virus strain QX2 S protein (S) gene, complete cds
KU237227.1	KU237227.1	G2c	Porcine epidemic diarrhea virus strain QX3 S protein (S) gene, complete cds
KU237229.1	KU237229.1	G2c	Porcine epidemic diarrhea virus strain WZ1 S protein (S) gene, complete cds
KU237230.1	KU237230.1	G2c	Porcine epidemic diarrhea virus strain WZ2 S protein (S) gene, complete cds
KU237231.1	KU237231.1	G2c	Porcine epidemic diarrhea virus strain XX S protein (S) gene, complete cds
